Energy(eV)	Element_n	Element	Line	Relative_intensity
3171.8	46	Pd	"Lβ2,1"	12
3188.6	51	Sb	Ll	4
3190.5	18	Ar	"Kβ1,"	10
3279.3	49	In	Lα	11
3286.9	49	In	Lα	100
3311.1	19	K	Kα	50
3313.8	19	K	Kα	100
3316.6	48	Cd	Lβ	58
3328.7	46	Pd	Lγ	6
3335.6	52	Te	Ll	4
3347.8	47	Ag	"Lβ2,1"	13
3435.4	50	Sn	Lα	11
3444	50	Sn	Lα	100
3485	53	I	Ll	4
3487.2	49	In	Lβ	58
3519.6	47	Ag	Lγ	6
3528.1	48	Cd	"Lβ2,1"	15
3589.6	19	K	"Kβ1,"	11
3595.3	51	Sb	Lα	11
3604.7	51	Sb	Lα	100
3636	54	Xe	Ll	4
3662.8	50	Sn	Lβ	60
3688.1	20	Ca	Kα	50
3691.7	20	Ca	Kα	100
3713.8	49	In	"Lβ2,1"	15
3716.9	48	Cd	Lγ	6
3758.8	52	Te	Lα	11
3769.3	52	Te	Lα	100
3795	55	Cs	Ll	4
3843.6	51	Sb	Lβ	61
3904.9	50	Sn	"Lβ2,1"	16
3920.8	49	In	Lγ	6
3926	53	I	Lα	11
3937.6	53	I	Lα	100
3954.1	56	Ba	Ll	4
4012.7	20	Ca	"Kβ1,"	13
4029.6	52	Te	Lβ	61
4086.1	21	Sc	Kα	50
4090.6	21	Sc	Kα	100
4093	54	Xe	Lα	11
4100.8	51	Sb	"Lβ2,1"	17
4109.9	54	Xe	Lα	100
4124	57	La	Ll	4
4131.1	50	Sn	Lγ	7
4220.7	53	I	Lβ	61
4272.2	55	Cs	Lα	11
4286.5	55	Cs	Lα	100
4287.5	58	Ce	Ll	4
4301.7	52	Te	"Lβ2,1"	18
4347.8	51	Sb	Lγ	8
4414	54	Xe	Lβ	60
4450.9	56	Ba	Lα	11
4453.2	59	Pr	Ll	4
4460.5	21	Sc	"Kβ1,"	15
4466.3	56	Ba	Lα	100
4504.9	22	Ti	Kα	50
