Time(s),CH1(V),CH2(V)
0.005088,0.683357,-0.009915
0.005088,0.643156,-0.009473
0.005089,0.643156,-0.008589
0.005089,0.643156,-0.007262
0.005089,0.643156,-0.006820
0.005089,0.643156,-0.007704
0.005089,0.643156,-0.009031
0.005089,0.643156,-0.010357
0.005090,0.643156,-0.011242
0.005090,0.643156,-0.011242
0.005090,0.643156,-0.010357
0.005090,0.643156,-0.008589
0.005090,0.643156,-0.006820
0.005090,0.643156,-0.006820
0.005090,0.643156,-0.007262
0.005091,0.643156,-0.008589
0.005091,0.643156,-0.009915
0.005091,0.643156,-0.010800
0.005091,0.602955,-0.010800
0.005091,0.602955,-0.009915
0.005091,0.602955,-0.009031
0.005092,0.602955,-0.007704
0.005092,0.602955,-0.007704
0.005092,0.602955,-0.009031
0.005092,0.602955,-0.010357
0.005092,0.602955,-0.010357
0.005092,0.602955,-0.009473
0.005092,0.602955,-0.008146
0.005093,0.602955,-0.006820
0.005093,0.602955,-0.006378
0.005093,0.602955,-0.006820
0.005093,0.602955,-0.008146
0.005093,0.602955,-0.010800
0.005093,0.602955,-0.012126
0.005094,0.602955,-0.012126
0.005094,0.602955,-0.009915
0.005094,0.602955,-0.007262
0.005094,0.602955,-0.005935
0.005094,0.562754,-0.005493
0.005094,0.562754,-0.006378
0.005095,0.562754,-0.008146
0.005095,0.562754,-0.009915
0.005095,0.562754,-0.011242
0.005095,0.562754,-0.010800
0.005095,0.562754,-0.009031
0.005095,0.562754,-0.007262
0.005095,0.562754,-0.005493
0.005096,0.562754,-0.005935
0.005096,0.562754,-0.007704
0.005096,0.562754,-0.009031
0.005096,0.562754,-0.009473
0.005096,0.562754,-0.010357
0.005096,0.562754,-0.009915
0.005097,0.562754,-0.006820
0.005097,0.562754,-0.005051
0.005097,0.562754,-0.004166
0.005097,0.522553,-0.006378
0.005097,0.522553,-0.008589
0.005097,0.522553,-0.010357
0.005097,0.522553,-0.010800
0.005098,0.522553,-0.009473
0.005098,0.522553,-0.007704
0.005098,0.522553,-0.005935
0.005098,0.522553,-0.005051
0.005098,0.522553,-0.005051
0.005098,0.522553,-0.006378
0.005099,0.522553,-0.008146
0.005099,0.522553,-0.009915
0.005099,0.522553,-0.009915
0.005099,0.522553,-0.009031
0.005099,0.522553,-0.007704
0.005099,0.522553,-0.007262
0.005100,0.522553,-0.006378
0.005100,0.522553,-0.005935
0.005100,0.522553,-0.006820
0.005100,0.522553,-0.007262
0.005100,0.522553,-0.007262
0.005100,0.522553,-0.006820
0.005100,0.522553,-0.006820
0.005101,0.522553,-0.007262
0.005101,0.482352,-0.008146
0.005101,0.482352,-0.009031
0.005101,0.482352,-0.009915
0.005101,0.482352,-0.009473
0.005101,0.482352,-0.008146
0.005102,0.482352,-0.006820
0.005102,0.482352,-0.005493
0.005102,0.482352,-0.005051
0.005102,0.482352,-0.005493
0.005102,0.482352,-0.006820
0.005102,0.482352,-0.007704
0.005102,0.482352,-0.008146
0.005103,0.482352,-0.007704
0.005103,0.482352,-0.007262
0.005103,0.482352,-0.007262
0.005103,0.482352,-0.007262
0.005103,0.482352,-0.007704
0.005103,0.482352,-0.007704
0.005104,0.482352,-0.008146
0.005104,0.482352,-0.007704
0.005104,0.482352,-0.006820
0.005104,0.482352,-0.005935
0.005104,0.442151,-0.005935
0.005104,0.442151,-0.006378
0.005105,0.442151,-0.006378
0.005105,0.442151,-0.006378
0.005105,0.442151,-0.006378
0.005105,0.442151,-0.007262
0.005105,0.442151,-0.008146
0.005105,0.442151,-0.009031
0.005105,0.442151,-0.009031
0.005106,0.442151,-0.008146
0.005106,0.442151,-0.006820
0.005106,0.442151,-0.005493
